id;name;yearlimit;team_limit_numb;participant_limit_byteam;regles
1;Table;47527;31264;80199;../fake-data/blob/hipster.txt
2;Directives;95574;22022;75530;../fake-data/blob/hipster.txt
3;Refined District HTTP;41701;62176;2720;../fake-data/blob/hipster.txt
4;Chief;83161;83846;88360;../fake-data/blob/hipster.txt
5;orchestrate Planner;55997;33617;76615;../fake-data/blob/hipster.txt
6;Steel fuchsia hacking;59168;55021;16907;../fake-data/blob/hipster.txt
7;harness architectures red;17869;52690;24149;../fake-data/blob/hipster.txt
8;Program Identity;55787;26839;41287;../fake-data/blob/hipster.txt
9;Ecuador array Delaware;69174;19578;44764;../fake-data/blob/hipster.txt
10;Home Loan Account deposit;12226;85213;61498;../fake-data/blob/hipster.txt
