id;competition_services_offer_name;competition_services_offer_detail;competition_services_offer_url
1;unleash Sports;../fake-data/blob/hipster.txt;Metal indexing
2;Hong Kong Dollar;../fake-data/blob/hipster.txt;real-time
3;Mouse;../fake-data/blob/hipster.txt;Industrial
4;Rubber;../fake-data/blob/hipster.txt;wireless North Carolina Ball
5;Future open system;../fake-data/blob/hipster.txt;Administrator Fantastic Concrete Table Manat
6;program;../fake-data/blob/hipster.txt;Infrastructure Iceland GB
7;Rand Cheese;../fake-data/blob/hipster.txt;USB Licensed Falls
8;evolve;../fake-data/blob/hipster.txt;impactful Specialist
9;International connect;../fake-data/blob/hipster.txt;Re-engineered online redundant
10;withdrawal niches;../fake-data/blob/hipster.txt;Function-based Computer
