id;delegation_name;delegation_country;delegation_locality;delegation_code
1;Automotive Regional Unbranded Granite Shirt;transmitter;firewall;Salad
2;1080p;Michigan;Cotton Texas;Handcrafted
3;Zloty;Licensed Granite Shirt Russian Federation Grocery;Frozen;RSS Seychelles Rupee contextually-based
4;Regional Brunei Dollar;modular Uzbekistan Sum Berkshire;Internal;Licensed
5;Tugrik;Ergonomic Metal Pants;Electronics Unbranded Pennsylvania;Avon SMS
6;Home Avon dot-com;Enterprise-wide;Engineer Berkshire;synergy
7;New Israeli Sheqel Multi-tiered incentivize;cross-platform Dobra;EXE Tasty International;Plaza Netherlands Antilles
8;Facilitator;Identity strategize Berkshire;Creative Movies Rufiyaa;cross-media Steel
9;deposit Personal Loan Account rich;Virginia Viaduct;Tactics Bike Avon;transmit virtual
10;Programmable quantifying;real-time GB;paradigm dynamic yellow;Organized Developer Concrete
