id;delegation_members_state;delegation_members_code;delegation_members_detail
1;Auto Loan Account Handcrafted Rubber Car;haptic microchip;../fake-data/blob/hipster.txt
2;Soft granular;program AI solutions;../fake-data/blob/hipster.txt
3;Metal Right-sized;navigating Associate Buckinghamshire;../fake-data/blob/hipster.txt
4;coherent Bedfordshire;Colombian Peso Unidad de Valor Real visionary;../fake-data/blob/hipster.txt
5;matrix transmitter Facilitator;Future human-resource Infrastructure;../fake-data/blob/hipster.txt
6;Plastic;Money Market Account ADP Small Concrete Car;../fake-data/blob/hipster.txt
7;Central Research Avon;Port neural-net Sleek;../fake-data/blob/hipster.txt
8;HTTP;Expanded Credit Card Account;../fake-data/blob/hipster.txt
9;Mauritius Rupee circuit Product;Shirt SAS;../fake-data/blob/hipster.txt
10;index Steel;architect front-end Cotton;../fake-data/blob/hipster.txt
