id;file_name;file_type;file_public;file_to_upload;file_to_upload_content_type
1;Refined Concrete Soap;Antigua and Barbuda;true;../fake-data/blob/hipster.png;image/png
2;Checking Account;pixel USB Passage;false;../fake-data/blob/hipster.png;image/png
3;Louisiana;TCP;true;../fake-data/blob/hipster.png;image/png
4;infrastructures synthesizing;Granite reboot;false;../fake-data/blob/hipster.png;image/png
5;Wyoming;Gorgeous Soft Hat;false;../fake-data/blob/hipster.png;image/png
6;online frame Officer;Auto Loan Account;true;../fake-data/blob/hipster.png;image/png
7;Operations Belize Dollar;Fantastic Cotton Car;false;../fake-data/blob/hipster.png;image/png
8;Electronics Shirt Investment Account;Checking Account collaborative;true;../fake-data/blob/hipster.png;image/png
9;invoice Borders;Kina;false;../fake-data/blob/hipster.png;image/png
10;Awesome Plastic Car;Wooden Data;false;../fake-data/blob/hipster.png;image/png
