id;notification_title;notification_subject;notification_url;notification_image;notification_image_content_type;notification_status;notification_type
1;Rustic bleeding-edge;green 1080p Metal;USB;../fake-data/blob/hipster.png;image/png;UNREAD;ALERT
2;North Dakota;Directives payment bluetooth;Yen District;../fake-data/blob/hipster.png;image/png;UNREAD;ALERT
3;Table stable asymmetric;Graphical User Interface;withdrawal compressing Unbranded Wooden Salad;../fake-data/blob/hipster.png;image/png;READ;EMAIL
4;client-server users Washington;3rd generation 1080p Berkshire;Gorgeous Steel Bacon Liaison Games;../fake-data/blob/hipster.png;image/png;READ;PUSH
5;Skyway Licensed Metal Table;Myanmar Fantastic Granite Hat bandwidth;Shirt Metal Lithuanian Litas;../fake-data/blob/hipster.png;image/png;READ;ALERT
6;circuit Kwanza;Granite;HDD Malaysian Ringgit Gorgeous Wooden Car;../fake-data/blob/hipster.png;image/png;READ;ALERT
7;payment;Jamaica;regional New York Grocery;../fake-data/blob/hipster.png;image/png;READ;PUSH
8;Tasty models Salad;Comoro Franc;ivory Configurable;../fake-data/blob/hipster.png;image/png;READ;ALERT
9;Buckinghamshire;Investment Account Checking Account;incentivize Dominican Peso Reactive;../fake-data/blob/hipster.png;image/png;READ;EMAIL
10;Music connecting Steel;holistic Object-based;alarm Agent solid state;../fake-data/blob/hipster.png;image/png;READ;ALERT
