id;rubrique_name;rubrique_details;rubrique_image;rubrique_image_content_type
1;Chair technologies Human;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;open-source British Indian Ocean Territory (Chagos Archipelago) scalable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;payment Music;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;Car Sports Peru;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;invoice Personal Loan Account cohesive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;matrix Berkshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;Cambridgeshire quantifying Berkshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;Home Loan Account redefine Sharable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;indexing Connecticut Generic Granite Ball;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;EXE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
