id;name;score_index;value;unite
1;streamline Intelligent red;12273;18528;mission-critical even-keeled Soft
2;turquoise Savings Account discrete;36007;49693;generating Ergonomic Metal Computer
3;Horizontal incremental;23992;52595;Generic Soft Bacon
4;value-added HTTP impactful;7513;58893;Concrete
5;TCP;56291;11871;Intranet clear-thinking
6;partnerships overriding foreground;4431;79878;User-centric Granite Auto Loan Account
7;Metrics Auto Loan Account;24903;88944;Fresh
8;payment Track Technician;76288;41779;Rustic interactive IB
9;executive invoice systemic;88818;18319;withdrawal Islands Cote d'Ivoire
10;back up;50230;18737;Refined copying Concrete
